group,alpha_idx,lambda_idx,alpha,lam,seed,final_step_measured,fourier_sparsity,circularity_top_freq,weight_norm_total,embedding_stable_rank,embedding_effective_rank,lm_head_effective_rank,dom_freq_0,dom_freq_1,dom_freq_2,dom_freq_3,dom_freq_4,source_file,first_step,first_fourier_sparsity,first_circularity_top_freq,first_weight_norm_total,first_embedding_stable_rank,first_embedding_effective_rank,first_lm_head_effective_rank,phase,t_train,t_test,final_step,delta_fourier_sparsity,delta_circularity_drop,dominant_freqs,top_canonical_freq,fourier_score,fourier_sparsity_pct_in_group,circularity_good_pct_in_group,fourier_evidence,mechanism_call
A,2,5,0.3,3.162278,0,100000,0.4120595455169678,0.287383496761322,30.024494171142578,23.914060592651367,55.80390930175781,,20.0,93.0,61.0,52.0,45.0,results/scans/A_p113_phase1.partial.parquet,100,0.36150801181793213,0.329258531332016,17.091903686523438,8.010771751403809,49.44579315185547,,comprehend,1000.0,10000.0,100000,0.050551533699035645,0.04187503457069397,"20,93,61,52,45",20.0,33.18,0.85,0.7,weak,generalizes_but_fourier_weak
B,1,2,0.2,0.1,0,100000,0.4865323305130005,0.18430402874946594,26.4621639251709,9.12927532196045,60.045082092285156,,18.0,95.0,57.0,56.0,30.0,results/scans/B_p113_phase1.partial.parquet,100,0.6878293752670288,0.28347140550613403,21.574878692626953,9.080361366271973,46.556793212890625,,comprehend,1000.0,10000.0,100000,-0.20129704475402832,0.09916737675666809,"18,95,57,56,30",18.0,47.1,0.7619047619047619,0.9047619047619048,moderate,fourier_like_moderate
B,1,3,0.2,0.316228,0,100000,0.4690724015235901,0.18892578780651093,24.257884979248047,27.652080535888672,56.961116790771484,,40.0,73.0,95.0,18.0,38.0,results/scans/B_p113_phase1.partial.parquet,100,0.6922720074653625,0.28538307547569275,21.160621643066406,8.969271659851074,46.34469223022461,,comprehend,1000.0,10000.0,100000,-0.22319960594177246,0.09645728766918182,"40,73,95,18,38",40.0,44.99,0.6190476190476191,0.8095238095238095,moderate,fourier_like_moderate
B,1,4,0.2,1.0,0,100000,0.41872158646583557,0.35853615403175354,29.848543167114258,18.315582275390625,58.65777587890625,,30.0,83.0,80.0,33.0,56.0,results/scans/B_p113_phase1.partial.parquet,100,0.7055503726005554,0.28930342197418213,19.926334381103516,8.611638069152832,45.633384704589844,,comprehend,1000.0,10000.0,100000,-0.28682878613471985,-0.06923273205757141,"30,83,80,33,56",30.0,26.76,0.3333333333333333,0.23809523809523814,weak,generalizes_but_fourier_weak
B,1,5,0.2,3.162278,0,100000,0.38503068685531616,0.3363513648509979,30.5440731048584,25.056657791137695,59.10988235473633,,30.0,83.0,75.0,38.0,40.0,results/scans/B_p113_phase1.partial.parquet,100,0.7400571703910828,0.31124526262283325,16.54409408569336,7.65674352645874,43.42744445800781,,comprehend,1000.0,1000.0,100000,-0.3550264835357666,-0.025106102228164673,"30,83,75,38,40",30.0,25.12,0.19047619047619047,0.33333333333333337,weak,generalizes_but_fourier_weak
B,2,0,0.3,0.01,0,100000,0.4863356351852417,0.4692372977733612,261.5939025878906,1.0351438522338867,20.37141990661621,,30.0,83.0,99.0,14.0,38.0,results/scans/B_p113_phase1.partial.parquet,100,0.7444877624511719,0.17088355123996735,21.332454681396484,6.266073226928711,45.13632583618164,,comprehend,1000.0,1000.0,100000,-0.2581521272659302,-0.29835374653339386,"30,83,99,14,38",30.0,24.92,0.7142857142857143,0.04761904761904767,weak,generalizes_but_fourier_weak
B,2,1,0.3,0.031623,0,100000,0.4808511435985565,0.294101744890213,68.96058654785156,1.3275598287582397,42.059574127197266,,30.0,83.0,75.0,38.0,14.0,results/scans/B_p113_phase1.partial.parquet,100,0.7445055246353149,0.17289473116397858,21.29525375366211,6.263007164001465,45.120819091796875,,comprehend,1000.0,1000.0,100000,-0.2636543810367584,-0.12120701372623444,"30,83,75,38,14",30.0,37.99,0.6666666666666666,0.4285714285714286,moderate,fourier_like_moderate
B,2,2,0.3,0.1,0,100000,0.46653690934181213,0.22530843317508698,25.049104690551758,20.59493064880371,59.35688018798828,,30.0,83.0,75.0,38.0,14.0,results/scans/B_p113_phase1.partial.parquet,100,0.7450178265571594,0.17332635819911957,21.16617202758789,6.229198932647705,45.05185317993164,,comprehend,1000.0,1000.0,100000,-0.2784809172153473,-0.05198207497596741,"30,83,75,38,14",30.0,41.91,0.5714285714285714,0.7142857142857143,moderate,fourier_like_moderate
B,2,3,0.3,0.316228,0,100000,0.4232010245323181,0.20161046087741852,25.072078704833984,25.06695556640625,57.92448425292969,,30.0,83.0,75.0,38.0,41.0,results/scans/B_p113_phase1.partial.parquet,100,0.7484942674636841,0.1722722351551056,20.750408172607422,6.1410813331604,44.80494689941406,,comprehend,1000.0,1000.0,100000,-0.32529324293136597,-0.029338225722312927,"30,83,75,38,41",30.0,39.42,0.38095238095238093,0.7619047619047619,moderate,fourier_like_moderate
B,2,4,0.3,1.0,0,100000,0.4279935956001282,0.26384860277175903,26.49230194091797,21.63031768798828,58.11832046508789,,38.0,75.0,72.0,41.0,30.0,results/scans/B_p113_phase1.partial.parquet,100,0.7567502856254578,0.17588108777999878,19.48666763305664,5.901671886444092,44.14176940917969,,comprehend,1000.0,1000.0,100000,-0.3287566900253296,-0.08796751499176025,"38,75,72,41,30",38.0,35.06,0.42857142857142855,0.5714285714285714,moderate,fourier_like_moderate
B,2,5,0.3,3.162278,0,100000,0.40060529112815857,0.3550429940223694,29.36444664001465,22.962650299072266,54.00823974609375,,41.0,72.0,75.0,38.0,30.0,results/scans/B_p113_phase1.partial.parquet,100,0.7846230864524841,0.1880577653646469,16.062034606933594,5.065574645996094,41.77377700805664,,comprehend,1000.0,1000.0,100000,-0.38401779532432556,-0.16698522865772247,"41,72,75,38,30",41.0,25.22,0.23809523809523808,0.2857142857142857,weak,generalizes_but_fourier_weak
B,3,1,0.4,0.031623,0,100000,0.5292016863822937,0.2725723683834076,66.98126983642578,1.3165785074234009,39.359432220458984,,41.0,72.0,83.0,30.0,18.0,results/scans/B_p113_phase1.partial.parquet,100,0.759718120098114,0.1503455638885498,21.17691421508789,5.977703094482422,43.75358581542969,,comprehend,1000.0,1000.0,100000,-0.2305164337158203,-0.12222680449485779,"41,72,83,30,18",41.0,44.5,1.0,0.5238095238095238,moderate,fourier_like_moderate
